漢方名,ひらがな,フリガナ,検索用,配合生薬
安中散,あんちゅうさん,アンチュウサン,安中散(あんちゅうさん),桂皮、牡蛎、縮砂、延胡索、茴香、良姜、甘草
胃風湯,いふうとう,イフウトウ,胃風湯(いふうとう),当帰、芍薬、川芎、人参、白朮、茯苓、桂皮、粟
胃苓湯,いれいとう,イレイトウ,胃苓湯(いれいとう),蒼朮、陳皮、沢瀉、白朮、厚朴、猪苓、芍薬、茯苓、桂皮、大棗、甘草、生姜
茵蔯蒿湯,いんちんこうとう,インチンコウトウ,茵蔯蒿湯(いんちんこうとう),茵蔯蒿、山梔子、大黄
茵蔯五苓散,いんちんごれいさん,インチンゴレイサン,茵蔯五苓散(いんちんごれいさん),沢瀉、猪苓、桂皮、茯苓、白朮、茵蔯蒿
温経湯,うんけいとう,ウンケイトウ,温経湯(うんけいとう),呉茱萸、桂皮、当帰、川芎、牡丹皮、芍薬、麦門冬、人参、甘草、生姜、半夏、阿膠
温清飲,うんせいいん,ウンセイイン,温清飲(うんせいいん),地黄、当帰、芍薬、川芎、黄連、黄芩、黄柏、山梔子
温胆湯,うんたんとう,ウンタントウ,温胆湯(うんたんとう),半夏、竹茹、枳実、陳皮、茯苓、甘草、生姜
越婢加朮湯,えっぴかじゅつふとう,エッピカジュツフトウ,越婢加朮湯(えっぴかじゅつふとう),甘草、麻黄、生姜、石膏、大棗、蒼朮
延年半夏湯,えんねんはんげとう,エンネンハンゲトウ,延年半夏湯(えんねんはんげとう),柴胡、枳実、檳榔子、桔梗、土別甲、人参、生姜、半夏、呉茱萸
黄耆建中湯,おうぎけんちゅうとう,オウギケンチュウトウ,黄耆建中湯(おうぎけんちゅうとう),桂皮、芍薬、生姜、大棗、甘草、黄耆、膠飴
黄芩湯,おうごんとう,オウゴントウ,黄芩湯(おうごんとう),黄芩、芍薬、甘草、大棗
応鐘散,おうしょうさん,オウショウサン,応鐘散(おうしょうさん),大黄、川芎
黄連阿膠湯,おうれんあきょうとう,オウレンアキョウトウ,黄連阿膠湯(おうれんあきょうとう),黄連、黄芩、芍薬、阿膠、卵黄
黄連解毒湯,おうれんげどくとう,オウレンゲドクトウ,黄連解毒湯(おうれんげどくとう),黄連、黄芩、黄柏、山梔子
黄連湯,おうれんとう,オウレントウ,黄連湯(おうれんとう),黄連、乾姜、桂皮、半夏、甘草、人参、大棗
乙字湯,おつじとう,オツジトウ,乙字湯(おつじとう),当帰、柴胡、黄芩、甘草、大黄、升麻
化食養脾湯,かしょくようひとう,カショクヨウヒトウ,化食養脾湯(かしょくようひとう),人参、白朮、茯苓、半夏、陳皮、大棗、神麹、麦芽、山査子、縮砂、生姜、甘草
藿香正気散,かっこうしょうきさん,カッコウショウキサン,藿香正気散(かっこうしょうきさん),白朮、茯苓、陳皮、白芷、藿香、大棗、甘草、半夏、厚朴、桔梗、蘇葉、大腹皮、生姜
葛根黄連黄芩湯,かっこんおうれんおうごんとう,カッコンオウレンオウゴントウ,葛根黄連黄芩湯(かっこんおうれんおうごんとう),葛根、黄連、黄芩、甘草
葛根紅花湯,かっこんこうかとう,カッコンコウカトウ,葛根紅花湯(かっこんこうかとう),葛根、地黄、芍薬、黄連、山梔子、紅花、大黄、甘草
葛根湯,かっこんとう,カッコントウ,葛根湯(かっこんとう),葛根、麻黄、桂皮、生姜、甘草、芍薬、大棗
葛根湯加川芎辛夷,かっこんとうかせんきゅうしんい,カッコントウカセンキュウシンイ,葛根湯加川芎辛夷(かっこんとうかせんきゅうしんい),葛根、麻黄、生姜、大棗、桂皮、芍薬、甘草、川芎、辛夷
加味温胆湯,かみうんたんとう,カミウンタントウ,加味温胆湯(かみうんたんとう),半夏、竹茹、枳実、陳皮、茯苓、甘草、生姜、酸棗仁、玄参、遠志、人参、地黄、大棗
加味帰脾湯,かみきひとう,カミキヒトウ,加味帰脾湯(かみきひとう),人参、黄耆、当帰、竜眼肉、白朮、木香、茯苓、遠志、酸棗仁、生姜、甘草、大棗、柴胡、山梔子、牡丹皮
加味逍遙散,かみしょうようさん,カミショウヨウサン,加味逍遙散(かみしょうようさん),柴胡、当帰、芍薬、茯苓、白朮、甘草、生姜、薄荷、牡丹皮、山梔子
加味平胃散,かみへいいさん,カミヘイイサン,加味平胃散(へいいさん),白朮、厚朴、陳皮、大棗、甘草、生姜、神麹、麦芽、山査子
乾姜人参半夏丸,かんきょうにんじんはんげがん,カンキョウニンジンハンゲガン,乾姜人参半夏丸(かんきょうにんじんはんげがん),乾姜、人参、半夏
環元清血飲,かんげんせいけついん,カンゲンセイケツイン,環元清血飲(かんげんせいけついん) ,丹参、川芎、芍薬、紅花、木香、香附子
甘草瀉心湯,かんぞうしゃしんとう,カンゾウシャシントウ,甘草瀉心湯(かんぞうしゃしんとう),半夏、黄芩、黄連、乾姜、人参、大棗、甘草
甘草湯,かんぞうとう,カンゾウトウ,甘草湯(かんぞうとう),甘草
甘麦大棗湯,かんばくたいそうとう,カンバクタイソウトウ,甘麦大棗湯(かんばくたいそうとう),甘草、小麦、大棗
甘露飲,かんろいん,カンロイン,甘露飲(かんろいん),黄芩、枇杷葉、地黄、麦門冬、天門冬、石斛、茵蔯蒿、枳実、甘草
帰耆建中湯,きぎけんちゅうとう,キギケンチュウトウ,帰耆建中湯(きぎけんちゅうとう),当帰、黄耆、桂皮、芍薬、生姜、大棗、甘草
桔梗湯,ききょうとう,キキョウトウ,桔梗湯(ききょうとう),桔梗、甘草
帰脾湯,きひとう,キヒトウ,帰脾湯(きひとう),人参、黄耆、当帰、竜眼肉、白朮、木香、茯苓、遠志、酸棗仁、甘草、大棗、生姜
芎帰膠艾湯,きゅうききょうがいとう,キュウキキョウガイトウ,芎帰膠艾湯(きゅうききょうがいとう),当帰、川芎、芍薬、地黄、艾葉、甘草
芎帰調血飲,きゅうきちょうけついん,キュウキチョウケツイン,芎帰調血飲(きゅうきちょうけついん),当帰、地黄、茯苓、烏薬、牡丹皮、大棗、生姜、川芎、白朮、陳皮、香附子、益母草、甘草
